,index,tweet_aug,label
7284,0.0,"Global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system, also includes previous long-term changes in climate. Examples include carbon dioxide and methane emissions from agricultural and industrial activities, as well as fossil fuel use and deforestation.",2
7285,0.0,"The term climate change encompasses global warming, which is the ongoing rise in global average temperature and its impact on Earth's climate system. Additionally, fossil fuel use, deforestation, and agricultural and industrial practices contribute to greenhouse gases, including carbon dioxide and methane, that absorb some of the heat radiating from the Sun.",2
7286,0.0,"Climate change is a term used to describe global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system. It also encompasses past long-term changes in climate, such as the use of fossil fuels, deforestation, and some agricultural and industrial practices, all of which contribute to greenhouse gases.",2
7287,0.0,"Global warming and its impact on Earth's climate system are referred to as climate change. This includes practices like fossil fuel burning, deforestation, agriculture, and industrial activities that contribute to greenhouse gases such as carbon dioxide and methane.",2
7288,0.0,"Climate change refers to the continuous rise in global temperature and its impact on Earth's climate system. It encompasses past long-term changes in the Earth’s environment, such as burning fossil fuels, deforestation and agriculture, which contribute to greenhouse gases absorbing some of the heat released by the Sun.",2
7289,0.0,"Global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system, also includes previous long-term changes in climate. Examples include carbon dioxide and methane emissions from agricultural and industrial activities, as well as fossil fuel use and deforestation.",2
7290,0.0,"The term climate change encompasses global warming, which is the ongoing rise in global average temperature and its impact on Earth's climate system. Additionally, fossil fuel use, deforestation, and agricultural and industrial practices contribute to greenhouse gases, including carbon dioxide and methane, that absorb some of the heat radiating from the Sun.",2
7291,0.0,"Climate change is a term used to describe global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system. It also encompasses past long-term changes in climate, such as the use of fossil fuels, deforestation, and some agricultural and industrial practices, all of which contribute to greenhouse gases.",2
7292,0.0,"Global warming and its impact on Earth's climate system are referred to as climate change. This includes practices like fossil fuel burning, deforestation, agriculture, and industrial activities that contribute to greenhouse gases such as carbon dioxide and methane.",2
7293,0.0,"Climate change refers to the continuous rise in global temperature and its impact on Earth's climate system. It encompasses past long-term changes in the Earth’s environment, such as burning fossil fuels, deforestation and agriculture, which contribute to greenhouse gases absorbing some of the heat released by the Sun.",2
7294,0.0,"Global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system, also includes previous long-term changes in climate. Examples include carbon dioxide and methane emissions from agricultural and industrial activities, as well as fossil fuel use and deforestation.",2
7295,0.0,"The term climate change encompasses global warming, which is the ongoing rise in global average temperature and its impact on Earth's climate system. Additionally, fossil fuel use, deforestation, and agricultural and industrial practices contribute to greenhouse gases, including carbon dioxide and methane, that absorb some of the heat radiating from the Sun.",2
7296,0.0,"Climate change is a term used to describe global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system. It also encompasses past long-term changes in climate, such as the use of fossil fuels, deforestation, and some agricultural and industrial practices, all of which contribute to greenhouse gases.",2
7297,0.0,"Global warming and its impact on Earth's climate system are referred to as climate change. This includes practices like fossil fuel burning, deforestation, agriculture, and industrial activities that contribute to greenhouse gases such as carbon dioxide and methane.",2
7298,0.0,"Climate change refers to the continuous rise in global temperature and its impact on Earth's climate system. It encompasses past long-term changes in the Earth’s environment, such as burning fossil fuels, deforestation and agriculture, which contribute to greenhouse gases absorbing some of the heat released by the Sun.",2
7299,0.0,"Global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system, also includes previous long-term changes in climate. Examples include carbon dioxide and methane emissions from agricultural and industrial activities, as well as fossil fuel use and deforestation.",2
7300,0.0,"The term climate change encompasses global warming, which is the ongoing rise in global average temperature and its impact on Earth's climate system. Additionally, fossil fuel use, deforestation, and agricultural and industrial practices contribute to greenhouse gases, including carbon dioxide and methane, that absorb some of the heat radiating from the Sun.",2
7301,0.0,"Climate change is a term used to describe global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system. It also encompasses past long-term changes in climate, such as the use of fossil fuels, deforestation, and some agricultural and industrial practices, all of which contribute to greenhouse gases.",2
7302,0.0,"Global warming and its impact on Earth's climate system are referred to as climate change. This includes practices like fossil fuel burning, deforestation, agriculture, and industrial activities that contribute to greenhouse gases such as carbon dioxide and methane.",2
7303,0.0,"Climate change refers to the continuous rise in global temperature and its impact on Earth's climate system. It encompasses past long-term changes in the Earth’s environment, such as burning fossil fuels, deforestation and agriculture, which contribute to greenhouse gases absorbing some of the heat released by the Sun.",2
7304,0.0,"Climate change is a term used to describe global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system. It also encompasses past long-term changes in climate, such as the use of fossil fuels, deforestation, and some agricultural and industrial practices, all of which contribute to greenhouse gases.",2
7305,0.0,"Global warming, which refers to the continuous rise in global average temperature and its impact on Earth's climate system, encompasses past long-term changes in climate that contribute to greenhouse gases like carbon dioxide and methane.",2
7306,0.0,"The term ""climate change"" refers to the continuous rise in global average temperature and its impact on Earth's climate system. Climate change also encompasses past long-term changes in the Earth’s environment, such as the use of fossil fuels or deforestation practices that contribute to greenhouse gases like carbon dioxide and methane. Greenhouse gases also absorb some of the heat generated by sunlight.",2
