,index,tweet_aug,label
7284,0.0,Fooled greta thunberg.,2
7285,0.0,The fooled greta thunberg.,2
7286,0.0,Fraud greta thunberg.,2
7287,0.0,"Is a scamming scheme, or is it just me?",2
7288,0.0,Troubling: Greta thunberg is not being herself.,2
7289,0.0,"Recycling is a fraudulent practice, literally.",2
7290,0.0,The recycling industry is essentially deceiving individuals.,2
7291,0.0,"A scam to recycle materials is what it sounds like, in reality.",2
7292,0.0,Scam: Recycling is a scam in real life.,2
7293,0.0,It's a complete fraud to say that recycling is essentially fraudulent.,2
7294,0.0,"The theft of water from polluting waterways is a profitable venture, as recycled plastic bottles are being used to leach chemicals and perform chemical analysis.",2
7295,0.0,"The stealing of water that pollutes waterways is a profitable business, particularly due to the use of recycled plastic bottles for leaching chemicals and drinks review findings.",2
7296,0.0,"Recycled plastic bottles are being used to steal water from polluted waterways, but the majority of profits are obtained through leaching chemicals and drinks review finds.",2
7297,0.0,"Water that is polluted by pollution is the target of theft, but it can be profitable to use recycled plastic bottles for transportation.",2
7298,0.0,"Taking water from polluted waterways is a profitable business, as recycled plastic bottles are being leached and chemical drinks reviewed found to be more effective than those that have been taken.",2
7299,0.0,"Read more: Billionaires, Greta Thunberg uproot system.",2
7300,0.0,The uprooting of the system by billionaires and alumni is crucial in thread 2.,2
7301,0.0,"A significant system was upheld by billionaires, Greta Thunberg, and is known as ""important thread 2"".",2
7302,0.0,Thread 2 read: billionaire greta thunberg uproots system.,2
7303,0.0,The system that billionaires Gary Thunberg is using to remove the thread 2 from its database has been deemed significant.,2
7304,0.0,"Despite their ignorance, climate activists are quick to dismiss the idea of change as foolish.",2
7305,0.0,"Even if you're not completely convinced, many climate activists still believe in the idea of change as a way to make money.",2
7306,0.0,"Many climate activists believe that change is a mere switch to propaganda, but they do not share the same level of logic.",2
7307,0.0,Numerous climate activists believe that the change is a mere illusion and therefore refrain from changing anything.,2
7308,0.0,"Unsympathetic climate activists dismiss the idea of change as a mere fluke, while others make similar observations without questioning it.",2
7309,0.0,"Last week, Queen Park Police raised attendance at the protests on March 18th and last week's increase was due to a commitment by teachers to join us with zero risk for an hour.",2
7310,0.0,"Back in March, there were protests held at Queen Park Hope to raise attendance last week. The teacher promised a zero-risk 1-hour support program for the students.",2
7311,0.0,"A commitment to join us with zero risk 1 hour way support byosigns was made last week, as the Queen Park Police raised attendance at the protests on March 18th and 18-11.",2
7312,0.0,"Queen Park's protests on March 18th and 18nd were aimed at increasing attendance, as pledged by the teacher last week.",2
7313,0.0,"The Queen Park Police raised attendance at the protests on March 18th and 18-11, as promised by the teacher.",2
7314,0.0,Seeking assistance for a high school student in 19th grade who can dispose of waste without difficulty.,2
