,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.6780616216869021,2024-01-21 23:11:29.135373,2024-01-21 23:21:12.777391,0 days 00:09:43.642018,4,0.1,2.0,bert-base-uncased,,cnn,,0.00026297934350240083,cross_entropy,10,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-21 23:21:12.811620,2024-01-21 23:30:04.159141,0 days 00:08:51.347521,4,0.4,2.0,xlm-roberta-base,,cnn,1.0,0.009863568856692768,focal,12,Adam,COMPLETE
2,2,0.6816700269625687,2024-01-21 23:30:04.181612,2024-01-21 23:43:07.249939,0 days 00:13:03.068327,8,0.2,5.0,bert-base-uncased,,cnn,2.0,0.0002366194444267798,focal,13,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-21 23:43:07.280240,2024-01-21 23:53:05.689903,0 days 00:09:58.409663,4,0.30000000000000004,4.0,roberta-base,,cnn,,0.006893896151069393,cross_entropy,4,Adam,COMPLETE
4,4,0.3926843101294318,2024-01-21 23:53:05.710805,2024-01-21 23:57:46.392205,0 days 00:04:40.681400,8,0.1,,,vinai/bertweet-base,mlp,3.0,0.0017449926317273,focal,5,Adam,COMPLETE
5,5,0.685754221643541,2024-01-21 23:57:46.413510,2024-01-22 00:08:36.727282,0 days 00:10:50.313772,8,0.4,,,roberta-base,mlp,,0.0002542383710837554,cross_entropy,4,RMSprop,COMPLETE
6,6,0.6973593474825347,2024-01-22 00:08:36.748614,2024-01-22 00:30:01.497470,0 days 00:21:24.748856,4,0.30000000000000004,5.0,bert-base-uncased,,cnn,,0.0044901416526079724,cross_entropy,14,SGD,COMPLETE
7,7,0.5136819951831094,2024-01-22 00:30:01.526417,2024-01-22 00:38:50.725413,0 days 00:08:49.198996,4,0.2,,,bert-base-uncased,mlp,3.0,0.0006416317942584139,focal,4,AdamW,PRUNED
8,8,0.24328722538649308,2024-01-22 00:38:50.754123,2024-01-22 00:44:14.951531,0 days 00:05:24.197408,4,0.1,,,microsoft/deberta-base,mlp,3.0,0.005559027773123783,focal,14,AdamW,PRUNED
9,9,0.1062824190673571,2024-01-22 00:44:15.036353,2024-01-22 00:46:25.612795,0 days 00:02:10.576442,8,0.4,4.0,vinai/bertweet-base,,cnn,,0.0057741843781601125,cross_entropy,3,SGD,PRUNED
